name,x,y,norm,distinct
ewok,-13.739244,-24.83042,10.44030650891055,56
exa,-26.809668,17.384499,14.491376746189438,95
exabayes,-39.427994,-0.90553826,3.1622776601683795,4
exago,-31.159256,0.82035506,21.283796653792763,53
examl,-39.427994,-0.90553826,3.1622776601683795,4
exawind,-24.876263,-7.6369066,7.874007874011811,20
exaworks,-2.3760922,-13.644187,127.83583222242503,194
exodusii,-41.698658,5.020406,2.449489742783178,6
exonerate,12.906037,30.341625,26.795522013948524,312
exonerate-gff3,-43.39288,46.895046,10.04987562112089,101
expat,40.64263,15.496607,90.91204540653565,922
expat-toolfile,9.797938,-22.62054,13.416407864998739,109
express,10.724323,30.445528,26.739483914241877,234
exuberant-ctags,-10.40723,18.544382,57.7148161220323,235
faodel,-1.2930816,-55.22005,186.459110799124,333
fasthadd,56.92185,-3.473498,34.45286635390443,655
fastjet,32.50807,23.97623,47.66550115125194,886
fastqc,3.0969565,47.172504,32.83291031876401,423
fastx-toolkit,9.603871,30.578068,26.739483914241877,234
fckit,-2.1736324,-24.874151,21.42428528562855,118
fd,-12.377872,-12.332577,5.916079783099616,35
fdb-fortran,-35.406544,0.105590224,1.0,1
feh,-31.958023,3.8168929,2.449489742783178,6
fenics,-0.27954525,53.746094,13.038404810405298,170
feq-parse,-26.073225,-11.30691,4.898979485566356,9
fesom2,-35.406544,0.105590224,1.0,1
ffmpeg,-2.0127819,48.17996,45.68369512200168,390
ffte,-34.243126,-7.7011867,3.0,9
fftjet,55.247215,-5.3648634,34.45286635390443,655
fftw,42.56613,21.167376,141.32586458253138,1358
fftw-api,-18.11578,-4.1911807,5.656854249492381,31
fftw-api:,-36.277985,13.226862,11.445523142259598,53
fftw3-toolfile,10.961711,-22.69277,13.416407864998739,109
fiat,-2.2244036,-28.875502,20.346989949375804,111
file,-9.0888815,-1.5406839,22.315913604421397,144
findutils,42.952698,17.081652,96.7212489580237,976
finufft,-18.061272,-17.103565,11.045361017187261,35
fio,2.1241803,53.400955,15.716233645501712,203
fjcontrib,25.34699,-0.5324974,38.98717737923585,660
flac,-29.881939,15.385836,11.575836902790225,67
flang,-37.284363,5.302764,2.23606797749979,5
flap,-26.07351,-11.306859,4.898979485566356,9
flatbuffers,36.62671,8.16715,40.36087214122113,689
flecsi,-2.53314,-55.55308,186.84217939212763,337
flex,41.492516,5.756856,65.94694837519019,879
flexiblas,-4.6435823,21.680666,18.867962264113206,163
flit,-1.1842743,-54.45522,194.82812938587693,335
flowvr,-31.862904,-9.087288,3.1622776601683795,6
fluka,-17.641764,-31.882505,10.63014581273465,43
flux-core,-3.3485606,-51.329273,182.4691754790381,332
flux-pmix,-19.948112,28.618437,9.591663046625438,43
